Destination Port, Flow Duration, Total Fwd Packets, Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Bwd Packet Length Max, Bwd Packet Length Min, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance, FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Std, Label
80,113860,7,332,332,0,47.4286,1294,0,15650.8,105.393,10350.9,21391.6,66397,2,18976.7,25990.3,11,5314,1328.5,2264.08,5250,20,0,0,232,168,43.9136,0,1294,148.5,128697,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,114018,7,344,344,0,49.1429,1254,0,15383.5,105.247,10365.3,22246.9,70409,2,19003,27266.5,17,2848,712,1188.77,2771,21,0,0,232,168,43.8527,0,1254,146.167,121568,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,1.13087e+06,8,492,492,0,61.5,1328,0,1747.33,11.4956,94239.2,278888,1.01644e+06,4,161553,349943,19,1644,411,623.087,1489,27,0,0,272,168,4.42137,0,1328,152,133049,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,2.16181e+06,6,451,451,0,75.1667,1202,0,836.797,4.62574,240202,448153,1.13114e+06,3,432363,527667,47,6414,2138,1835.02,4507,36,0,0,208,136,1.8503,0,1202,180.9,134529,1,1,3,8,0,0.666667,32120,249,1,32,0,0,0,0,0,PortScan
80,2.16206e+06,7,351,351,0,50.1429,1348,0,857.979,5.55027,196551,607877,2.11846e+06,2,360343,786398,16,1715,428.75,697.028,1636,20,0,0,232,168,2.31261,0,1348,154.583,139824,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.18619e+06,8,383,383,0,47.875,1366,0,597.893,4.08011,265516,625277,2.11844e+06,3,455170,764142,22,1446,361.5,540.119,1296,28,0,0,272,168,1.56927,0,1366,146.538,135217,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,3.18641e+06,7,366,366,0,52.2857,1340,0,584.357,3.766,289673,898432,3.13046e+06,2,531068,1.1626e+06,13,10114,2528.5,4339.08,10044,20,0,0,232,168,1.56917,0,1340,155.167,138748,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.1867e+06,7,595,595,0,85,1448,0,690.055,3.76565,289700,898428,3.13046e+06,2,531117,1.16258e+06,20,9008,2252,3842.85,8908,27,0,0,232,168,1.56902,0,1448,183.25,172675,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.19545e+06,7,410,410,0,58.5714,1272,0,575.193,3.75534,290496,901961,3.14248e+06,5,532575,1.16728e+06,19,9751,2437.75,3459.71,8359,29,0,0,232,168,1.56472,0,1272,153.167,127408,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,1.1698e+06,8,443,443,0,55.375,1330,0,1649,11.113,97483.4,280473,1.02284e+06,3,167114,351024,17,3121,780.25,871.138,2148,23,0,0,272,168,4.27423,0,1330,148.385,131019,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
